sample,fastq_1,fastq_2,umi,umi_file,strandedness,subsample
210982_0001000000,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R1_001.fastq.gz,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R2_001.fastq.gz,,,unstranded,1M
210982_0002000000,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R1_001.fastq.gz,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R2_001.fastq.gz,,,unstranded,2M
210982_0005000000,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R1_001.fastq.gz,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R2_001.fastq.gz,,,unstranded,5M
210982_0010000000,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R1_001.fastq.gz,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R2_001.fastq.gz,,,unstranded,10M
210982_0025000000,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R1_001.fastq.gz,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R2_001.fastq.gz,,,unstranded,25M
210982_0050000000,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R1_001.fastq.gz,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R2_001.fastq.gz,,,unstranded,50M
210982_0100000000,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R1_001.fastq.gz,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R2_001.fastq.gz,,,unstranded,100Mf
210982_0250000000,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R1_001.fastq.gz,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R2_001.fastq.gz,,,unstranded,250Mf
210982_0500000000,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R1_001.fastq.gz,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R2_001.fastq.gz,,,unstranded,500Mf
210982_0750000000,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R1_001.fastq.gz,/scratch/csfs/ido/tmp/dna/H2YV2DSX5_2_R14398_20221127/demultiplexed/210982/210982_S2_L002_R2_001.fastq.gz,,,unstranded,750Mf
