sample,fastq_1,fastq_2,umi,umi_file,strandedness,subsample
288551,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288551/288551_S1_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288551/288551_S1_R2_001.fastq.gz,,,,25Mf
288552,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288552/288552_S2_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288552/288552_S2_R2_001.fastq.gz,,,,25Mf
288553,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288553/288553_S3_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288553/288553_S3_R2_001.fastq.gz,,,,25Mf
288554,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288554/288554_S4_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288554/288554_S4_R2_001.fastq.gz,,,,25Mf
288555,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288555/288555_S5_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288555/288555_S5_R2_001.fastq.gz,,,,25Mf
288556,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288556/288556_S6_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288556/288556_S6_R2_001.fastq.gz,,,,25Mf
288557,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288557/288557_S7_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288557/288557_S7_R2_001.fastq.gz,,,,25Mf
288558,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288558/288558_S8_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288558/288558_S8_R2_001.fastq.gz,,,,25Mf
288559,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288559/288559_S9_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288559/288559_S9_R2_001.fastq.gz,,,,25Mf
288560,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288560/288560_S10_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288560/288560_S10_R2_001.fastq.gz,,,,25Mf
288561,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288561/288561_S11_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288561/288561_S11_R2_001.fastq.gz,,,,25Mf
288562,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288562/288562_S12_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288562/288562_S12_R2_001.fastq.gz,,,,25Mf
288563,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288563/288563_S13_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288563/288563_S13_R2_001.fastq.gz,,,,25Mf
288564,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288564/288564_S14_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288564/288564_S14_R2_001.fastq.gz,,,,25Mf
288565,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288565/288565_S15_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288565/288565_S15_R2_001.fastq.gz,,,,25Mf
288566,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288566/288566_S16_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288566/288566_S16_R2_001.fastq.gz,,,,25Mf
288567,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288567/288567_S17_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288567/288567_S17_R2_001.fastq.gz,,,,25Mf
288568,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288568/288568_S18_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22KKCYLT3_8_R17038_20240415/demultiplexed/288568/288568_S18_R2_001.fastq.gz,,,,25Mf
