sample,fastq_1,fastq_2,umi,umi_file,strandedness,subsample
285447,/scratch/csfs/ido/tmp/undemultiplexed/22HWK3LT3_8_R16891_20240326/demultiplexed/285447/285447_S7_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22HWK3LT3_8_R16891_20240326/demultiplexed/285447/285447_S7_R2_001.fastq.gz,,,unstranded,600000
285448,/scratch/csfs/ido/tmp/undemultiplexed/22HWK3LT3_8_R16891_20240326/demultiplexed/285448/285448_S8_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22HWK3LT3_8_R16891_20240326/demultiplexed/285448/285448_S8_R2_001.fastq.gz,,,unstranded,600000
285449,/scratch/csfs/ido/tmp/undemultiplexed/22HWK3LT3_8_R16891_20240326/demultiplexed/285449/285449_S9_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22HWK3LT3_8_R16891_20240326/demultiplexed/285449/285449_S9_R2_001.fastq.gz,,,unstranded,600000
285450,/scratch/csfs/ido/tmp/undemultiplexed/22HWK3LT3_8_R16891_20240326/demultiplexed/285450/285450_S10_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22HWK3LT3_8_R16891_20240326/demultiplexed/285450/285450_S10_R2_001.fastq.gz,,,unstranded,600000
285451,/scratch/csfs/ido/tmp/undemultiplexed/22HWK3LT3_8_R16891_20240326/demultiplexed/285451/285451_S11_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22HWK3LT3_8_R16891_20240326/demultiplexed/285451/285451_S11_R2_001.fastq.gz,,,unstranded,600000
296169,/scratch/csfs/ido/tmp/undemultiplexed/22MGC5LT3_7_R17336_20240707/demultiplexed/296169/296169_S1_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22MGC5LT3_7_R17336_20240707/demultiplexed/296169/296169_S1_R3_001.fastq.gz,,,,600000
296170,/scratch/csfs/ido/tmp/undemultiplexed/22MGC5LT3_7_R17336_20240707/demultiplexed/296170/296170_S2_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22MGC5LT3_7_R17336_20240707/demultiplexed/296170/296170_S2_R3_001.fastq.gz,,,,600000
296171,/scratch/csfs/ido/tmp/undemultiplexed/22MGC5LT3_7_R17336_20240707/demultiplexed/296171/296171_S3_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22MGC5LT3_7_R17336_20240707/demultiplexed/296171/296171_S3_R3_001.fastq.gz,,,,600000
296172,/scratch/csfs/ido/tmp/undemultiplexed/22MGC5LT3_7_R17336_20240707/demultiplexed/296172/296172_S4_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22MGC5LT3_7_R17336_20240707/demultiplexed/296172/296172_S4_R3_001.fastq.gz,,,,600000
296173,/scratch/csfs/ido/tmp/undemultiplexed/22MGC5LT3_7_R17336_20240707/demultiplexed/296173/296173_S5_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22MGC5LT3_7_R17336_20240707/demultiplexed/296173/296173_S5_R3_001.fastq.gz,,,,600000
296174,/scratch/csfs/ido/tmp/undemultiplexed/22MGC5LT3_7_R17336_20240707/demultiplexed/296174/296174_S6_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22MGC5LT3_7_R17336_20240707/demultiplexed/296174/296174_S6_R3_001.fastq.gz,,,,600000
296175,/scratch/csfs/ido/tmp/undemultiplexed/22MGC5LT3_7_R17336_20240707/demultiplexed/296175/296175_S7_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22MGC5LT3_7_R17336_20240707/demultiplexed/296175/296175_S7_R3_001.fastq.gz,,,,600000
296176,/scratch/csfs/ido/tmp/undemultiplexed/22MGC5LT3_7_R17336_20240707/demultiplexed/296176/296176_S8_R1_001.fastq.gz,/scratch/csfs/ido/tmp/undemultiplexed/22MGC5LT3_7_R17336_20240707/demultiplexed/296176/296176_S8_R3_001.fastq.gz,,,,600000
