sample,fastq_1,fastq_2,umi,umi_file,strandedness,subsample
363881,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363881/363881_S1_R1_001.fastq.gz,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363881/363881_S1_R2_001.fastq.gz,,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363881/363881_UMI_S1_I1_001.fastq.gz,unstranded,100M
363882,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363882/363882_S2_R1_001.fastq.gz,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363882/363882_S2_R2_001.fastq.gz,,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363882/363882_UMI_S2_I1_001.fastq.gz,unstranded,100M
363883,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363883/363883_S3_R1_001.fastq.gz,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363883/363883_S3_R2_001.fastq.gz,,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363883/363883_UMI_S3_I1_001.fastq.gz,unstranded,100M
363884,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363884/363884_S4_R1_001.fastq.gz,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363884/363884_S4_R2_001.fastq.gz,,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363884/363884_UMI_S4_I1_001.fastq.gz,unstranded,100M
363885,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363885/363885_S5_R1_001.fastq.gz,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363885/363885_S5_R2_001.fastq.gz,,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363885/363885_UMI_S5_I1_001.fastq.gz,unstranded,100M
363886,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363886/363886_S6_R1_001.fastq.gz,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363886/363886_S6_R2_001.fastq.gz,,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363886/363886_UMI_S6_I1_001.fastq.gz,unstranded,100M
363887,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363887/363887_S7_R1_001.fastq.gz,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363887/363887_S7_R2_001.fastq.gz,,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363887/363887_UMI_S7_I1_001.fastq.gz,unstranded,100M
363888,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363888/363888_S8_R1_001.fastq.gz,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363888/363888_S8_R2_001.fastq.gz,,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363888/363888_UMI_S8_I1_001.fastq.gz,unstranded,100M
363889,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363889/363889_S9_R1_001.fastq.gz,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363889/363889_S9_R2_001.fastq.gz,,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363889/363889_UMI_S9_I1_001.fastq.gz,unstranded,100M
363890,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363890/363890_S10_R1_001.fastq.gz,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363890/363890_S10_R2_001.fastq.gz,,/scratch/csfs/pipelines/vbcf-shortdemux/20251024_LH00402_0206_A2372H2LT3_7/work/bf/680121a44be35677fa225c5f04024c/2372H2LT3_7_R19648_20251025/demultiplexed/363890/363890_UMI_S10_I1_001.fastq.gz,unstranded,100M
